Timestep,EvacueeID,X,Y,Active,Evacuated,Rescued,Stuck
1,0,15,16,True,False,False,False
1,1,12,13,True,False,False,False
1,2,18,19,True,False,False,False
2,0,15,17,True,False,False,False
2,1,12,14,True,False,False,False
2,2,17,19,True,False,False,False
3,0,15,18,True,False,False,False
3,1,12,15,True,False,False,False
3,2,16,19,True,False,False,False
4,0,15,19,True,False,False,False
4,1,12,16,True,False,False,False
4,2,15,19,True,False,False,False
5,0,15,20,True,False,False,False
5,1,12,17,True,False,False,False
5,2,15,20,True,False,False,False
6,0,15,21,True,False,False,False
6,1,12,18,True,False,False,False
6,2,15,21,True,False,False,False
7,0,15,22,True,False,False,False
7,1,12,19,True,False,False,False
7,2,15,22,True,False,False,False
8,0,15,22,True,False,False,False
8,1,13,19,True,False,False,False
8,2,15,22,True,False,False,False
9,0,15,22,True,False,False,False
9,1,14,19,True,False,False,False
9,2,15,22,True,False,False,False
10,0,15,22,True,False,False,False
10,1,15,19,True,False,False,False
10,2,15,22,True,False,False,False
11,0,15,22,True,False,False,False
11,1,15,20,True,False,False,False
11,2,15,22,True,False,False,False
12,0,15,22,True,False,False,False
12,1,15,21,True,False,False,False
12,2,15,22,True,False,False,False
13,0,15,22,True,False,False,False
13,1,16,21,True,False,False,False
13,2,15,22,True,False,False,False
14,0,15,22,True,False,False,False
14,1,17,21,True,False,False,False
14,2,15,22,True,False,False,False
15,0,15,22,True,False,False,False
15,1,18,21,True,False,False,False
15,2,15,22,True,False,False,False
16,0,15,22,True,False,False,False
16,1,19,21,True,False,False,False
16,2,15,22,True,False,False,False
17,0,15,22,True,False,False,False
17,1,20,21,True,False,False,False
17,2,15,22,True,False,False,False
18,0,15,22,True,False,False,True
18,1,21,21,True,False,False,False
18,2,15,22,True,False,False,True
19,0,15,22,True,False,False,True
19,1,21,20,True,False,False,False
19,2,15,22,True,False,False,True
20,0,15,22,True,False,False,True
20,1,21,19,True,False,False,False
20,2,15,22,True,False,False,True
21,0,15,22,True,False,False,True
21,1,21,18,True,False,False,False
21,2,15,22,True,False,False,True
22,0,15,22,True,False,False,True
22,1,21,17,True,False,False,False
22,2,15,22,True,False,False,True
23,0,15,22,True,False,False,True
23,1,21,16,True,False,False,False
23,2,15,22,True,False,False,True
24,0,15,22,True,False,False,True
24,1,21,15,True,False,False,False
24,2,15,22,True,False,False,True
25,0,15,22,True,False,False,True
25,1,21,14,True,False,False,False
25,2,15,22,True,False,False,True
26,0,15,22,True,False,False,True
26,1,21,13,True,False,False,False
26,2,15,22,True,False,False,True
27,0,16,21,True,False,True,True
27,1,21,12,True,False,False,False
27,2,15,22,True,False,False,True
28,0,15,21,True,False,True,True
28,1,21,11,True,False,False,False
28,2,15,22,True,False,False,True
29,0,15,20,True,False,True,True
29,1,21,10,True,False,False,False
29,2,15,22,True,False,False,True
30,0,15,19,True,False,True,True
30,1,21,9,True,False,False,False
30,2,15,22,True,False,False,True
31,0,15,18,True,False,True,True
31,1,21,8,True,False,False,False
31,2,15,22,True,False,False,True
32,0,15,17,True,False,True,True
32,1,21,7,True,False,False,False
32,2,15,22,True,False,False,True
33,0,15,16,True,False,True,True
33,1,21,6,True,False,False,False
33,2,15,22,True,False,False,True
34,0,15,16,True,False,True,True
34,1,21,5,True,False,False,False
34,2,15,22,True,False,False,True
35,0,15,16,True,False,True,True
35,1,21,4,True,False,False,False
35,2,15,22,True,False,False,True
36,0,15,16,True,False,True,True
36,1,21,3,True,False,False,False
36,2,15,22,True,False,False,True
37,0,15,16,True,False,True,True
37,1,21,2,True,False,False,False
37,2,15,22,True,False,False,True
38,0,15,16,True,False,True,True
38,1,21,1,True,False,False,False
38,2,15,22,True,False,False,True
39,0,15,16,True,False,True,True
39,1,20,1,True,False,False,False
39,2,15,22,True,False,False,True
40,0,15,16,True,False,True,True
40,1,19,1,True,False,False,False
40,2,15,22,True,False,False,True
41,0,15,16,True,False,True,True
41,1,18,1,True,False,False,False
41,2,15,22,True,False,False,True
42,0,15,16,True,False,True,True
42,1,17,1,True,False,False,False
42,2,15,22,True,False,False,True
43,0,15,16,True,False,True,True
43,1,16,1,True,False,False,False
43,2,15,22,True,False,False,True
44,0,15,16,True,False,True,True
44,1,15,1,True,False,False,False
44,2,15,22,True,False,False,True
45,0,15,16,True,False,True,True
45,1,15,1,False,True,False,False
45,2,15,22,True,False,False,True
