Timestep,ResponderID,X,Y,Active,RescuedCount
1,3,15,6,True,0
2,3,15,7,True,0
3,3,15,8,True,0
4,3,15,9,True,0
5,3,16,9,True,0
6,3,17,9,True,0
7,3,18,9,True,0
8,3,19,9,True,0
9,3,20,9,True,0
10,3,21,9,True,0
11,3,21,10,True,0
12,3,21,11,True,0
13,3,21,12,True,0
14,3,21,13,True,0
15,3,21,14,True,0
16,3,21,15,True,0
17,3,21,16,True,0
18,3,21,17,True,0
19,3,21,18,True,0
20,3,21,19,True,0
21,3,21,20,True,0
22,3,21,21,True,0
23,3,20,21,True,0
24,3,19,21,True,0
25,3,18,21,True,0
26,3,17,21,True,0
27,3,16,21,True,1
28,3,15,21,True,1
29,3,15,20,True,1
30,3,15,19,True,1
31,3,15,18,True,1
32,3,15,17,True,1
33,3,15,16,True,1
34,3,15,16,True,1
35,3,15,16,True,1
36,3,15,16,True,1
37,3,15,16,True,1
38,3,15,16,True,1
39,3,15,16,True,1
40,3,15,16,True,1
41,3,15,16,True,1
42,3,15,16,True,1
43,3,15,16,True,1
44,3,15,16,True,1
45,3,15,16,True,1
