Timestep,EvacueeID,X,Y,Active,Evacuated,Rescued,Stuck
1,0,12,19,True,False,False,False
1,1,27,19,True,False,False,False
1,2,42,19,True,False,False,False
1,3,12,31,True,False,False,False
1,4,27,31,True,False,False,False
1,5,42,31,True,False,False,False
2,0,12,19,True,False,False,False
2,1,27,19,True,False,False,False
2,2,42,19,True,False,False,False
2,3,12,31,True,False,False,False
2,4,27,31,True,False,False,False
2,5,42,31,True,False,False,False
3,0,12,19,True,False,False,False
3,1,27,19,True,False,False,False
3,2,42,19,True,False,False,False
3,3,12,31,True,False,False,False
3,4,27,31,True,False,False,False
3,5,42,31,True,False,False,False
4,0,12,19,True,False,False,False
4,1,27,19,True,False,False,False
4,2,42,19,True,False,False,False
4,3,12,31,True,False,False,False
4,4,27,31,True,False,False,False
4,5,42,31,True,False,False,False
5,0,12,19,True,False,False,False
5,1,27,19,True,False,False,False
5,2,44,23,True,False,True,False
5,3,12,31,True,False,False,False
5,4,27,31,True,False,False,False
5,5,42,31,True,False,False,False
6,0,12,19,True,False,False,False
6,1,27,19,True,False,False,False
6,2,44,24,True,False,True,False
6,3,12,31,True,False,False,False
6,4,27,31,True,False,False,False
6,5,42,31,True,False,False,False
7,0,12,19,True,False,False,False
7,1,27,19,True,False,False,False
7,2,44,25,False,True,True,False
7,3,12,31,True,False,False,False
7,4,27,31,True,False,False,False
7,5,42,31,True,False,False,False
8,0,12,19,True,False,False,False
8,1,27,19,True,False,False,False
8,2,44,25,False,True,True,False
8,3,12,31,True,False,False,False
8,4,27,31,True,False,False,False
8,5,42,31,True,False,False,False
9,0,12,19,True,False,False,False
9,1,27,19,True,False,False,False
9,2,44,25,False,True,True,False
9,3,12,31,True,False,False,False
9,4,27,31,True,False,False,False
9,5,42,31,True,False,False,False
10,0,12,19,True,False,False,False
10,1,27,19,True,False,False,False
10,2,44,25,False,True,True,False
10,3,12,31,True,False,False,False
10,4,27,31,True,False,False,False
10,5,42,31,True,False,False,False
11,0,12,19,True,False,False,False
11,1,27,19,True,False,False,False
11,2,44,25,False,True,True,False
11,3,12,31,True,False,False,False
11,4,27,31,True,False,False,False
11,5,42,31,True,False,False,False
12,0,12,19,True,False,False,False
12,1,27,19,True,False,False,False
12,2,44,25,False,True,True,False
12,3,12,31,True,False,False,False
12,4,27,31,True,False,False,False
12,5,42,31,True,False,False,False
13,0,14,23,True,False,True,False
13,1,27,19,True,False,False,False
13,2,44,25,False,True,True,False
13,3,12,31,True,False,False,False
13,4,27,31,True,False,False,False
13,5,42,31,True,False,False,False
14,0,14,24,True,False,True,False
14,1,27,19,True,False,False,False
14,2,44,25,False,True,True,False
14,3,12,31,True,False,False,False
14,4,27,31,True,False,False,False
14,5,42,31,True,False,False,False
15,0,14,25,True,False,True,False
15,1,27,19,True,False,False,False
15,2,44,25,False,True,True,False
15,3,12,31,True,False,False,False
15,4,27,31,True,False,False,False
15,5,42,31,True,False,False,False
16,0,13,25,True,False,True,False
16,1,27,19,True,False,False,False
16,2,44,25,False,True,True,False
16,3,12,31,True,False,False,False
16,4,27,31,True,False,False,False
16,5,42,31,True,False,False,False
17,0,12,25,True,False,True,False
17,1,27,19,True,False,False,False
17,2,44,25,False,True,True,False
17,3,12,31,True,False,False,False
17,4,27,31,True,False,False,False
17,5,42,31,True,False,False,False
18,0,11,25,True,False,True,False
18,1,27,19,True,False,False,False
18,2,44,25,False,True,True,False
18,3,12,31,True,False,False,False
18,4,27,31,True,False,False,False
18,5,42,31,True,False,False,False
19,0,10,25,True,False,True,False
19,1,27,19,True,False,False,False
19,2,44,25,False,True,True,False
19,3,12,31,True,False,False,False
19,4,27,31,True,False,False,False
19,5,42,31,True,False,False,False
20,0,9,25,True,False,True,False
20,1,27,19,True,False,False,False
