Timestep,EvacueeID,X,Y,Active,Evacuated,Rescued,Stuck
1,8,12,20,True,False,False,False
1,9,27,20,True,False,False,False
1,10,42,20,True,False,False,False
1,11,13,31,True,False,False,False
1,12,28,31,True,False,False,False
1,13,43,31,True,False,False,False
2,8,12,21,True,False,False,False
2,9,27,21,True,False,False,False
2,10,42,21,True,False,False,False
2,11,14,31,True,False,False,False
2,12,29,31,True,False,False,False
2,13,44,31,True,False,False,False
3,8,12,22,True,False,False,False
3,9,27,22,True,False,False,False
3,10,42,22,True,False,False,False
3,11,14,30,True,False,False,False
3,12,29,30,True,False,False,False
3,13,44,30,True,False,False,False
4,8,13,22,True,False,False,False
4,9,28,22,True,False,False,False
4,10,43,22,True,False,False,False
4,11,14,29,True,False,False,False
4,12,29,29,True,False,False,False
4,13,44,29,True,False,False,False
5,8,14,22,True,False,False,False
5,9,29,22,True,False,False,False
5,10,44,22,True,False,False,False
5,11,14,28,True,False,False,False
5,12,29,28,True,False,False,False
5,13,44,28,True,False,False,False
6,8,14,23,True,False,False,False
6,9,29,23,True,False,False,False
6,10,44,23,True,False,False,False
6,11,14,27,True,False,False,False
6,12,29,27,True,False,False,False
6,13,44,27,True,False,False,False
7,8,14,24,True,False,False,False
7,9,29,24,True,False,False,False
7,10,44,24,True,False,False,False
7,11,14,26,True,False,False,False
7,12,29,26,True,False,False,False
7,13,44,26,True,False,False,False
8,8,14,25,True,False,False,False
8,9,29,25,True,False,False,False
8,10,44,25,True,False,False,False
8,11,14,25,True,False,False,False
8,12,30,26,True,False,False,False
8,13,44,25,True,False,False,False
9,8,13,25,True,False,False,False
9,9,30,25,True,False,False,False
9,10,44,25,False,True,False,False
9,11,13,25,True,False,False,False
9,12,31,26,True,False,False,False
9,13,44,25,False,True,False,False
10,8,12,25,True,False,False,False
10,9,31,25,True,False,False,False
10,10,44,25,False,True,False,False
10,11,12,25,True,False,False,False
10,12,32,26,True,False,False,False
10,13,44,25,False,True,False,False
11,8,11,25,True,False,False,False
11,9,32,25,True,False,False,False
11,10,44,25,False,True,False,False
11,11,11,25,True,False,False,False
11,12,33,26,True,False,False,False
11,13,44,25,False,True,False,False
12,8,10,25,True,False,False,False
12,9,33,25,True,False,False,False
12,10,44,25,False,True,False,False
12,11,10,25,True,False,False,False
12,12,34,26,True,False,False,False
12,13,44,25,False,True,False,False
13,8,9,25,True,False,False,False
13,9,34,25,True,False,False,False
13,10,44,25,False,True,False,False
13,11,9,25,True,False,False,False
13,12,35,26,True,False,False,False
13,13,44,25,False,True,False,False
14,8,8,25,True,False,False,False
14,9,35,25,True,False,False,False
14,10,44,25,False,True,False,False
14,11,8,25,True,False,False,False
14,12,36,26,True,False,False,False
14,13,44,25,False,True,False,False
15,8,7,25,True,False,False,False
15,9,36,25,True,False,False,False
15,10,44,25,False,True,False,False
15,11,7,25,True,False,False,False
15,12,37,26,True,False,False,False
15,13,44,25,False,True,False,False
16,8,6,25,True,False,False,False
16,9,37,25,True,False,False,False
16,10,44,25,False,True,False,False
16,11,6,25,True,False,False,False
16,12,38,26,True,False,False,False
16,13,44,25,False,True,False,False
17,8,5,25,True,False,False,False
17,9,38,25,True,False,False,False
17,10,44,25,False,True,False,False
17,11,5,25,True,False,False,False
17,12,39,26,True,False,False,False
17,13,44,25,False,True,False,False
18,8,5,25,False,True,False,False
18,9,39,25,True,False,False,False
18,10,44,25,False,True,False,False
18,11,5,25,False,True,False,False
18,12,40,26,True,False,False,False
18,13,44,25,False,True,False,False
19,8,5,25,False,True,False,False
19,9,40,25,True,False,False,False
19,10,44,25,False,True,False,False
19,11,5,25,False,True,False,False
19,12,41,26,True,False,False,False
19,13,44,25,False,True,False,False
20,8,5,25,False,True,False,False
20,9,41,25,True,False,False,False
20,10,44,25,False,True,False,False
20,11,5,25,False,True,False,False
20,12,42,26,True,False,False,False
20,13,44,25,False,True,False,False
21,8,5,25,False,True,False,False
21,9,42,25,True,False,False,False
21,10,44,25,False,True,False,False
21,11,5,25,False,True,False,False
21,12,43,26,True,False,False,False
21,13,44,25,False,True,False,False
22,8,5,25,False,True,False,False
22,9,43,25,True,False,False,False
22,10,44,25,False,True,False,False
22,11,5,25,False,True,False,False
22,12,44,26,True,False,False,False
22,13,44,25,False,True,False,False
23,8,5,25,False,True,False,False
23,9,44,25,True,False,False,False
23,10,44,25,False,True,False,False
23,11,5,25,False,True,False,False
23,12,44,25,True,False,False,False
23,13,44,25,False,True,False,False
24,8,5,25,False,True,False,False
24,9,44,25,False,True,False,False
24,10,44,25,False,True,False,False
24,11,5,25,False,True,False,False
24,12,44,25,False,True,False,False
24,13,44,25,False,True,False,False
