Timestep,ResponderID,X,Y,Active,RescuedCount
1,14,6,25,True,0
1,15,45,24,True,0
2,14,7,25,True,0
2,15,44,24,True,0
3,14,8,25,True,0
3,15,44,23,True,0
4,14,9,25,True,0
4,15,44,22,True,0
5,14,10,25,True,0
5,15,44,21,True,0
6,14,11,25,True,0
6,15,44,20,True,0
7,14,12,25,True,0
7,15,44,19,True,0
8,14,13,25,True,0
8,15,44,20,True,0
9,14,14,25,True,0
9,15,44,21,True,0
10,14,14,24,True,0
10,15,44,22,True,0
11,14,14,23,True,0
11,15,44,23,True,0
12,14,14,22,True,0
12,15,44,24,True,0
13,14,14,21,True,0
13,15,44,25,True,0
14,14,14,20,True,0
14,15,44,26,True,0
15,14,14,19,True,0
15,15,44,27,True,0
16,14,14,20,True,0
16,15,44,28,True,0
17,14,14,21,True,0
17,15,44,29,True,0
18,14,14,22,True,0
18,15,44,30,True,0
19,14,14,23,True,0
19,15,44,31,True,0
20,14,14,24,True,0
20,15,44,30,True,0
21,14,14,25,True,0
21,15,44,29,True,0
22,14,14,26,True,0
22,15,44,28,True,0
23,14,14,27,True,0
23,15,44,27,True,0
24,14,14,28,True,0
24,15,44,26,True,0
