Timestep,EvacueeID,X,Y,Active,Evacuated,Rescued,Stuck
1,0,12,13,True,False,False,False
1,1,48,13,True,False,False,False
1,2,13,48,True,False,False,False
1,3,48,47,True,False,False,False
2,0,12,14,True,False,False,False
2,1,48,14,True,False,False,False
2,2,14,48,True,False,False,False
2,3,48,46,True,False,False,False
3,0,12,15,True,False,False,False
3,1,48,15,True,False,False,False
3,2,14,47,True,False,False,False
3,3,48,45,True,False,False,False
4,0,12,16,True,False,False,False
4,1,48,16,True,False,False,False
4,2,14,46,True,False,False,False
4,3,48,44,True,False,False,False
5,0,12,17,True,False,False,False
5,1,48,17,True,False,False,False
5,2,14,45,True,False,False,False
5,3,48,43,True,False,False,False
6,0,12,18,True,False,False,False
6,1,48,18,True,False,False,False
6,2,14,44,True,False,False,False
6,3,48,42,True,False,False,False
7,0,12,19,True,False,False,False
7,1,48,19,True,False,False,False
7,2,14,43,True,False,False,False
7,3,48,41,True,False,False,False
8,0,13,19,True,False,False,False
8,1,47,19,True,False,False,False
8,2,14,42,True,False,False,False
8,3,47,41,True,False,False,False
9,0,14,19,True,False,False,False
9,1,46,19,True,False,False,False
9,2,14,41,True,False,False,False
9,3,46,41,True,False,False,False
10,0,14,20,True,False,False,False
10,1,46,20,True,False,False,False
10,2,14,40,True,False,False,False
10,3,46,40,True,False,False,False
11,0,14,21,True,False,False,False
11,1,46,21,True,False,False,False
11,2,14,39,True,False,False,False
11,3,46,39,True,False,False,False
12,0,14,22,True,False,False,False
12,1,46,22,True,False,False,False
12,2,14,38,True,False,False,False
12,3,47,39,True,False,False,False
13,0,14,23,True,False,False,False
13,1,46,23,True,False,False,False
13,2,14,37,True,False,False,False
13,3,48,39,True,False,False,False
14,0,14,24,True,False,False,False
14,1,46,24,True,False,False,False
14,2,14,36,True,False,False,False
14,3,49,39,True,False,False,False
15,0,14,25,True,False,False,False
15,1,46,25,True,False,False,False
15,2,14,35,True,False,False,False
15,3,50,39,True,False,False,False
16,0,14,26,True,False,False,False
16,1,46,26,True,False,False,False
16,2,14,34,True,False,False,False
16,3,51,39,True,False,False,False
17,0,14,27,True,False,False,False
17,1,46,27,True,False,False,False
17,2,14,33,True,False,False,False
17,3,52,39,True,False,False,False
18,0,14,28,True,False,False,False
18,1,46,28,True,False,False,False
18,2,14,32,True,False,False,False
18,3,53,39,True,False,False,False
19,0,14,29,True,False,False,False
19,1,46,29,True,False,False,False
19,2,14,31,True,False,False,False
19,3,54,39,True,False,False,False
20,0,14,30,True,False,False,False
20,1,46,30,True,False,False,False
20,2,14,30,True,False,False,False
20,3,54,38,True,False,False,False
21,0,13,30,True,False,False,False
21,1,47,30,True,False,False,False
21,2,13,30,True,False,False,False
21,3,54,37,True,False,False,False
22,0,12,30,True,False,False,False
22,1,48,30,True,False,False,False
22,2,12,30,True,False,False,False
22,3,54,36,True,False,False,False
23,0,11,30,True,False,False,False
23,1,49,30,True,False,False,False
23,2,11,30,True,False,False,False
23,3,54,35,True,False,False,False
24,0,10,30,True,False,False,False
24,1,50,30,True,False,False,False
24,2,10,30,True,False,False,False
24,3,54,34,True,False,False,False
25,0,9,30,True,False,False,False
25,1,51,30,True,False,False,False
25,2,9,30,True,False,False,False
25,3,54,33,True,False,False,False
26,0,8,30,True,False,False,False
26,1,52,30,True,False,False,False
26,2,8,30,True,False,False,False
26,3,54,32,True,False,False,False
27,0,7,30,True,False,False,False
27,1,53,30,True,False,False,False
27,2,7,30,True,False,False,False
27,3,54,31,True,False,False,False
28,0,6,30,True,False,False,False
28,1,54,30,True,False,False,False
28,2,6,30,True,False,False,False
28,3,54,30,True,False,False,False
29,0,5,30,True,False,False,False
29,1,54,30,False,True,False,False
29,2,5,30,True,False,False,False
29,3,54,30,False,True,False,False
30,0,5,30,False,True,False,False
30,1,54,30,False,True,False,False
30,2,5,30,False,True,False,False
30,3,54,30,False,True,False,False
