Timestep,ResponderID,X,Y,Active,RescuedCount
1,4,30,6,True,0
1,5,30,54,True,0
1,6,6,30,True,0
1,7,55,29,True,0
2,4,30,7,True,0
2,5,30,53,True,0
2,6,7,30,True,0
2,7,55,28,True,0
3,4,30,8,True,0
3,5,30,52,True,0
3,6,8,30,True,0
3,7,55,27,True,0
4,4,30,9,True,0
4,5,30,51,True,0
4,6,9,30,True,0
4,7,55,26,True,0
5,4,30,10,True,0
5,5,30,50,True,0
5,6,10,30,True,0
5,7,55,25,True,0
6,4,30,11,True,0
6,5,30,49,True,0
6,6,11,30,True,0
6,7,55,24,True,0
7,4,30,12,True,0
7,5,30,48,True,0
7,6,12,30,True,0
7,7,55,23,True,0
8,4,30,13,True,0
8,5,30,47,True,0
8,6,13,30,True,0
8,7,55,22,True,0
9,4,30,14,True,0
9,5,30,46,True,0
9,6,14,30,True,0
9,7,55,21,True,0
10,4,29,14,True,0
10,5,29,46,True,0
10,6,14,29,True,0
10,7,54,21,True,0
11,4,28,14,True,0
11,5,28,46,True,0
11,6,14,28,True,0
11,7,53,21,True,0
12,4,27,14,True,0
12,5,27,46,True,0
12,6,14,27,True,0
12,7,52,21,True,0
13,4,26,14,True,0
13,5,26,46,True,0
13,6,14,26,True,0
13,7,51,21,True,0
14,4,25,14,True,0
14,5,25,46,True,0
14,6,14,25,True,0
14,7,50,21,True,0
15,4,24,14,True,0
15,5,24,46,True,0
15,6,14,24,True,0
15,7,49,21,True,0
16,4,23,14,True,0
16,5,23,46,True,0
16,6,14,23,True,0
16,7,48,21,True,0
17,4,22,14,True,0
17,5,22,46,True,0
17,6,14,22,True,0
17,7,47,21,True,0
18,4,21,14,True,0
18,5,21,46,True,0
18,6,14,21,True,0
18,7,46,21,True,0
19,4,21,15,True,0
19,5,21,45,True,0
19,6,14,20,True,0
19,7,46,20,True,0
20,4,21,16,True,0
20,5,21,44,True,0
20,6,14,19,True,0
20,7,46,19,True,0
21,4,21,17,True,0
21,5,21,43,True,0
21,6,14,18,True,0
21,7,46,18,True,0
22,4,21,18,True,0
22,5,21,42,True,0
22,6,14,17,True,0
22,7,46,17,True,0
23,4,21,19,True,0
23,5,21,41,True,0
23,6,14,16,True,0
23,7,46,16,True,0
24,4,21,20,True,0
24,5,21,40,True,0
24,6,14,15,True,0
24,7,46,15,True,0
25,4,21,21,True,0
25,5,21,39,True,0
25,6,14,16,True,0
25,7,46,16,True,0
26,4,20,21,True,0
26,5,20,39,True,0
26,6,14,17,True,0
26,7,46,17,True,0
27,4,19,21,True,0
27,5,19,39,True,0
27,6,14,18,True,0
27,7,46,18,True,0
28,4,18,21,True,0
28,5,18,39,True,0
28,6,14,19,True,0
28,7,46,19,True,0
29,4,17,21,True,0
29,5,17,39,True,0
29,6,14,20,True,0
29,7,46,20,True,0
30,4,16,21,True,0
30,5,16,39,True,0
30,6,14,21,True,0
30,7,46,21,True,0
