Timestep,EvacueeID,X,Y,Active,Evacuated,Rescued,Stuck
1,0,12,20,True,False,False,False
1,1,27,20,True,False,False,False
1,2,42,20,True,False,False,False
1,3,13,31,True,False,False,False
1,4,28,31,True,False,False,False
1,5,43,31,True,False,False,False
2,0,12,21,True,False,False,False
2,1,27,20,True,False,False,False
2,2,42,21,True,False,False,False
2,3,14,31,True,False,False,False
2,4,29,31,True,False,False,False
2,5,44,31,True,False,False,False
3,0,12,22,True,False,False,False
3,1,27,20,True,False,False,False
3,2,42,22,True,False,False,False
3,3,14,30,True,False,False,False
3,4,29,30,True,False,False,False
3,5,44,30,True,False,False,False
4,0,13,22,True,False,False,False
4,1,27,20,True,False,False,False
4,2,43,22,True,False,False,False
4,3,14,29,True,False,False,False
4,4,29,30,True,False,False,False
4,5,44,29,True,False,False,False
5,0,14,22,True,False,False,False
5,1,27,20,True,False,False,False
5,2,44,22,True,False,False,False
5,3,14,28,True,False,False,False
5,4,29,30,True,False,False,False
5,5,44,28,True,False,False,False
6,0,14,23,True,False,False,False
6,1,27,20,True,False,False,False
6,2,44,23,True,False,False,False
6,3,14,27,True,False,False,False
6,4,29,30,True,False,False,False
6,5,44,27,True,False,False,False
7,0,14,24,True,False,False,False
7,1,27,20,True,False,False,False
7,2,44,24,True,False,False,False
7,3,14,26,True,False,False,False
7,4,29,30,True,False,False,False
7,5,44,26,True,False,False,False
8,0,14,25,True,False,False,False
8,1,27,20,True,False,False,False
8,2,44,25,True,False,False,False
8,3,14,25,True,False,False,False
8,4,29,30,True,False,False,False
8,5,44,25,True,False,False,False
9,0,13,25,True,False,False,False
9,1,27,20,True,False,False,False
9,2,44,25,False,True,False,False
9,3,13,25,True,False,False,False
9,4,29,30,True,False,False,False
9,5,44,25,False,True,False,False
10,0,12,25,True,False,False,False
10,1,27,20,True,False,False,False
10,2,44,25,False,True,False,False
10,3,12,25,True,False,False,False
10,4,29,30,True,False,False,False
10,5,44,25,False,True,False,False
11,0,11,25,True,False,False,False
11,1,27,20,True,False,False,False
11,2,44,25,False,True,False,False
11,3,11,25,True,False,False,False
11,4,29,30,True,False,False,False
11,5,44,25,False,True,False,False
12,0,10,25,True,False,False,False
12,1,27,20,True,False,False,False
12,2,44,25,False,True,False,False
12,3,10,25,True,False,False,False
12,4,29,30,True,False,False,True
12,5,44,25,False,True,False,False
13,0,9,25,True,False,False,False
13,1,27,20,True,False,False,True
13,2,44,25,False,True,False,False
13,3,9,25,True,False,False,False
13,4,29,30,True,False,False,True
13,5,44,25,False,True,False,False
14,0,8,25,True,False,False,False
14,1,27,20,True,False,False,True
14,2,44,25,False,True,False,False
14,3,8,25,True,False,False,False
14,4,29,30,True,False,False,True
14,5,44,25,False,True,False,False
15,0,7,25,True,False,False,False
15,1,27,20,True,False,False,True
15,2,44,25,False,True,False,False
15,3,7,25,True,False,False,False
15,4,29,30,True,False,False,True
15,5,44,25,False,True,False,False
16,0,6,25,True,False,False,False
16,1,27,20,True,False,False,True
16,2,44,25,False,True,False,False
16,3,6,25,True,False,False,False
16,4,29,30,True,False,False,True
16,5,44,25,False,True,False,False
17,0,5,25,True,False,False,False
17,1,27,20,True,False,False,True
17,2,44,25,False,True,False,False
17,3,5,25,True,False,False,False
17,4,29,30,True,False,False,True
17,5,44,25,False,True,False,False
18,0,5,25,False,True,False,False
18,1,27,20,True,False,False,True
18,2,44,25,False,True,False,False
18,3,5,25,False,True,False,False
18,4,29,30,True,False,False,True
18,5,44,25,False,True,False,False
19,0,5,25,False,True,False,False
19,1,27,20,True,False,False,True
19,2,44,25,False,True,False,False
19,3,5,25,False,True,False,False
19,4,29,30,True,False,False,True
19,5,44,25,False,True,False,False
20,0,5,25,False,True,False,False
20,1,27,20,True,False,False,True
20,2,44,25,False,True,False,False
20,3,5,25,False,True,False,False
20,4,29,30,True,False,False,True
20,5,44,25,False,True,False,False
21,0,5,25,False,True,False,False
21,1,27,20,True,False,False,True
21,2,44,25,False,True,False,False
21,3,5,25,False,True,False,False
21,4,29,30,True,False,False,True
21,5,44,25,False,True,False,False
22,0,5,25,False,True,False,False
22,1,27,20,True,False,False,True
22,2,44,25,False,True,False,False
22,3,5,25,False,True,False,False
22,4,29,30,True,False,False,True
22,5,44,25,False,True,False,False
23,0,5,25,False,True,False,False
23,1,27,20,True,False,False,True
23,2,44,25,False,True,False,False
23,3,5,25,False,True,False,False
23,4,29,30,True,False,False,True
23,5,44,25,False,True,False,False
24,0,5,25,False,True,False,False
24,1,27,20,True,False,False,True
24,2,44,25,False,True,False,False
24,3,5,25,False,True,False,False
24,4,29,30,True,False,False,True
24,5,44,25,False,True,False,False
25,0,5,25,False,True,False,False
25,1,27,20,True,False,False,True
25,2,44,25,False,True,False,False
25,3,5,25,False,True,False,False
25,4,29,30,True,False,False,True
25,5,44,25,False,True,False,False
26,0,5,25,False,True,False,False
26,1,27,20,True,False,False,True
26,2,44,25,False,True,False,False
26,3,5,25,False,True,False,False
26,4,29,30,True,False,False,True
26,5,44,25,False,True,False,False
27,0,5,25,False,True,False,False
27,1,27,20,True,False,False,True
27,2,44,25,False,True,False,False
27,3,5,25,False,True,False,False
27,4,29,30,True,False,False,True
27,5,44,25,False,True,False,False
28,0,5,25,False,True,False,False
28,1,27,20,True,False,False,True
28,2,44,25,False,True,False,False
28,3,5,25,False,True,False,False
28,4,29,30,True,False,False,True
28,5,44,25,False,True,False,False
29,0,5,25,False,True,False,False
29,1,27,20,True,False,False,True
29,2,44,25,False,True,False,False
29,3,5,25,False,True,False,False
29,4,29,30,True,False,False,True
29,5,44,25,False,True,False,False
30,0,5,25,False,True,False,False
30,1,27,20,True,False,False,True
30,2,44,25,False,True,False,False
30,3,5,25,False,True,False,False
30,4,29,30,True,False,False,True
30,5,44,25,False,True,False,False
31,0,5,25,False,True,False,False
31,1,27,20,True,False,False,True
31,2,44,25,False,True,False,False
31,3,5,25,False,True,False,False
31,4,29,30,True,False,False,True
31,5,44,25,False,True,False,False
32,0,5,25,False,True,False,False
32,1,27,20,True,False,False,True
32,2,44,25,False,True,False,False
32,3,5,25,False,True,False,False
32,4,29,30,True,False,False,True
32,5,44,25,False,True,False,False
33,0,5,25,False,True,False,False
33,1,27,20,True,False,False,True
33,2,44,25,False,True,False,False
33,3,5,25,False,True,False,False
33,4,29,30,True,False,False,True
33,5,44,25,False,True,False,False
34,0,5,25,False,True,False,False
34,1,27,20,True,False,False,True
34,2,44,25,False,True,False,False
34,3,5,25,False,True,False,False
34,4,29,30,True,False,False,True
34,5,44,25,False,True,False,False
35,0,5,25,False,True,False,False
35,1,27,20,True,False,False,True
35,2,44,25,False,True,False,False
35,3,5,25,False,True,False,False
35,4,29,30,True,False,False,True
35,5,44,25,False,True,False,False
36,0,5,25,False,True,False,False
36,1,27,20,True,False,False,True
36,2,44,25,False,True,False,False
36,3,5,25,False,True,False,False
36,4,29,30,True,False,False,True
36,5,44,25,False,True,False,False
37,0,5,25,False,True,False,False
37,1,27,20,True,False,False,True
37,2,44,25,False,True,False,False
37,3,5,25,False,True,False,False
37,4,29,30,True,False,False,True
37,5,44,25,False,True,False,False
38,0,5,25,False,True,False,False
38,1,27,20,True,False,False,True
38,2,44,25,False,True,False,False
38,3,5,25,False,True,False,False
38,4,29,30,True,False,False,True
38,5,44,25,False,True,False,False
39,0,5,25,False,True,False,False
39,1,27,20,True,False,False,True
39,2,44,25,False,True,False,False
39,3,5,25,False,True,False,False
39,4,29,30,True,False,False,True
39,5,44,25,False,True,False,False
40,0,5,25,False,True,False,False
40,1,27,20,True,False,False,True
40,2,44,25,False,True,False,False
40,3,5,25,False,True,False,False
40,4,29,30,True,False,False,True
40,5,44,25,False,True,False,False
41,0,5,25,False,True,False,False
41,1,27,20,True,False,False,True
41,2,44,25,False,True,False,False
41,3,5,25,False,True,False,False
41,4,29,30,True,False,False,True
41,5,44,25,False,True,False,False
42,0,5,25,False,True,False,False
42,1,27,20,True,False,False,True
42,2,44,25,False,True,False,False
42,3,5,25,False,True,False,False
42,4,29,30,True,False,False,True
42,5,44,25,False,True,False,False
43,0,5,25,False,True,False,False
43,1,27,20,True,False,False,True
43,2,44,25,False,True,False,False
43,3,5,25,False,True,False,False
43,4,29,30,True,False,False,True
43,5,44,25,False,True,False,False
44,0,5,25,False,True,False,False
44,1,27,20,True,False,False,True
44,2,44,25,False,True,False,False
44,3,5,25,False,True,False,False
44,4,29,30,True,False,False,True
44,5,44,25,False,True,False,False
45,0,5,25,False,True,False,False
45,1,27,20,True,False,False,True
45,2,44,25,False,True,False,False
45,3,5,25,False,True,False,False
45,4,29,30,True,False,False,True
45,5,44,25,False,True,False,False
46,0,5,25,False,True,False,False
46,1,27,20,True,False,False,True
46,2,44,25,False,True,False,False
46,3,5,25,False,True,False,False
46,4,29,30,True,False,False,True
46,5,44,25,False,True,False,False
47,0,5,25,False,True,False,False
47,1,27,20,True,False,False,True
47,2,44,25,False,True,False,False
47,3,5,25,False,True,False,False
47,4,29,30,True,False,False,True
47,5,44,25,False,True,False,False
48,0,5,25,False,True,False,False
48,1,27,20,True,False,False,True
48,2,44,25,False,True,False,False
48,3,5,25,False,True,False,False
48,4,29,30,True,False,False,True
48,5,44,25,False,True,False,False
49,0,5,25,False,True,False,False
49,1,27,20,True,False,False,True
49,2,44,25,False,True,False,False
49,3,5,25,False,True,False,False
49,4,29,30,True,False,False,True
49,5,44,25,False,True,False,False
50,0,5,25,False,True,False,False
50,1,27,20,True,False,False,True
50,2,44,25,False,True,False,False
50,3,5,25,False,True,False,False
50,4,29,30,True,False,False,True
50,5,44,25,False,True,False,False
51,0,5,25,False,True,False,False
51,1,27,20,True,False,False,True
51,2,44,25,False,True,False,False
51,3,5,25,False,True,False,False
51,4,29,30,True,False,False,True
51,5,44,25,False,True,False,False
52,0,5,25,False,True,False,False
52,1,27,20,True,False,False,True
52,2,44,25,False,True,False,False
52,3,5,25,False,True,False,False
52,4,29,30,True,False,False,True
52,5,44,25,False,True,False,False
53,0,5,25,False,True,False,False
53,1,27,20,True,False,False,True
53,2,44,25,False,True,False,False
53,3,5,25,False,True,False,False
53,4,29,30,True,False,False,True
53,5,44,25,False,True,False,False
54,0,5,25,False,True,False,False
54,1,27,20,True,False,False,True
54,2,44,25,False,True,False,False
54,3,5,25,False,True,False,False
54,4,29,30,True,False,False,True
54,5,44,25,False,True,False,False
55,0,5,25,False,True,False,False
55,1,27,20,True,False,False,True
55,2,44,25,False,True,False,False
55,3,5,25,False,True,False,False
55,4,29,30,True,False,False,True
55,5,44,25,False,True,False,False
56,0,5,25,False,True,False,False
56,1,27,20,True,False,False,True
56,2,44,25,False,True,False,False
