Timestep,ResponderID,X,Y,Active,RescuedCount
1,6,6,25,True,0
1,7,45,24,True,0
2,6,7,25,True,0
2,7,44,24,True,0
3,6,8,25,True,0
3,7,44,23,True,0
4,6,9,25,True,0
4,7,44,22,True,0
5,6,10,25,True,0
5,7,44,21,True,0
6,6,11,25,True,0
6,7,44,20,True,0
7,6,12,25,True,0
7,7,44,19,True,0
8,6,13,25,True,0
8,7,44,20,True,0
9,6,14,25,True,0
9,7,44,21,True,0
10,6,14,24,True,0
10,7,44,22,True,0
11,6,14,23,True,0
11,7,44,23,True,0
12,6,14,22,True,0
12,7,44,24,True,0
13,6,14,21,True,0
13,7,44,25,True,0
14,6,14,20,True,0
14,7,44,26,True,0
15,6,14,19,True,0
15,7,44,27,True,0
16,6,14,20,True,0
16,7,44,28,True,0
17,6,14,21,True,0
17,7,44,29,True,0
18,6,14,22,True,0
18,7,44,30,True,0
19,6,14,23,True,0
19,7,44,31,True,0
20,6,14,24,True,0
20,7,44,30,True,0
21,6,14,25,True,0
21,7,44,29,True,0
22,6,14,26,True,0
22,7,44,28,True,0
23,6,14,27,True,0
23,7,44,27,True,0
24,6,14,28,True,0
24,7,44,26,True,0
25,6,14,29,True,0
25,7,43,26,True,0
26,6,14,30,True,0
26,7,42,26,True,0
27,6,14,31,True,0
27,7,41,26,True,0
28,6,14,30,True,0
28,7,40,26,True,0
29,6,14,29,True,0
29,7,39,26,True,0
30,6,14,28,True,0
30,7,39,26,True,0
31,6,14,27,True,0
31,7,38,26,True,0
32,6,14,26,True,0
32,7,37,26,True,0
33,6,15,26,True,0
33,7,37,26,True,0
34,6,16,26,True,0
34,7,37,26,True,0
35,6,17,26,True,0
35,7,37,26,True,0
36,6,17,26,True,0
36,7,37,26,True,0
37,6,18,26,True,0
37,7,37,26,True,0
38,6,19,26,True,0
38,7,37,26,True,0
39,6,19,26,True,0
39,7,37,26,True,0
40,6,19,26,True,0
40,7,37,26,True,0
41,6,19,26,True,0
41,7,37,26,True,0
42,6,19,26,True,0
42,7,37,26,True,0
43,6,19,26,True,0
43,7,37,26,True,0
44,6,19,26,True,0
44,7,37,26,True,0
45,6,19,26,True,0
45,7,37,26,True,0
46,6,19,26,True,0
46,7,37,26,True,0
47,6,19,26,True,0
47,7,37,26,True,0
48,6,19,26,True,0
48,7,37,26,True,0
49,6,19,26,True,0
49,7,37,26,True,0
50,6,19,26,True,0
50,7,37,26,True,0
51,6,19,26,True,0
51,7,37,26,True,0
52,6,19,26,True,0
52,7,37,26,True,0
53,6,19,26,True,0
53,7,37,26,True,0
54,6,19,26,True,0
54,7,37,26,True,0
55,6,19,26,True,0
55,7,37,26,True,0
56,6,19,26,True,0
56,7,37,26,True,0
57,6,19,26,True,0
57,7,37,26,True,0
58,6,19,26,True,0
58,7,37,26,True,0
59,6,19,26,True,0
59,7,37,26,True,0
60,6,19,26,True,0
60,7,37,26,True,0
61,6,19,26,True,0
61,7,37,26,True,0
62,6,19,26,True,0
62,7,37,26,True,0
63,6,19,26,True,0
63,7,37,26,True,0
64,6,19,26,True,0
64,7,37,26,True,0
65,6,19,26,True,0
65,7,37,26,True,0
66,6,19,26,True,0
66,7,37,26,True,0
67,6,19,26,True,0
67,7,37,26,True,0
68,6,19,26,True,0
68,7,37,26,True,0
69,6,19,26,True,0
69,7,37,26,True,0
70,6,19,26,True,0
70,7,37,26,True,0
71,6,19,26,True,0
71,7,37,26,True,0
72,6,19,26,True,0
72,7,37,26,True,0
73,6,19,26,True,0
73,7,37,26,True,0
74,6,19,26,True,0
74,7,37,26,True,0
75,6,19,26,True,0
75,7,37,26,True,0
76,6,19,26,True,0
76,7,37,26,True,0
77,6,19,26,True,0
77,7,37,26,True,0
78,6,19,26,True,0
78,7,37,26,True,0
79,6,19,26,True,0
79,7,37,26,True,0
80,6,19,26,True,0
80,7,37,26,True,0
81,6,19,26,True,0
81,7,37,26,True,0
82,6,19,26,True,0
82,7,37,26,True,0
83,6,19,26,True,0
83,7,37,26,True,0
84,6,19,26,True,0
84,7,37,26,True,0
85,6,19,26,True,0
85,7,37,26,True,0
86,6,19,26,True,0
86,7,37,26,True,0
87,6,19,26,True,0
87,7,37,26,True,0
88,6,19,26,True,0
88,7,37,26,True,0
89,6,19,26,True,0
89,7,37,26,True,0
90,6,19,26,True,0
90,7,37,26,True,0
91,6,19,26,True,0
91,7,37,26,True,0
92,6,19,26,True,0
92,7,37,26,True,0
93,6,19,26,True,0
93,7,37,26,True,0
94,6,19,26,True,0
94,7,37,26,True,0
95,6,19,26,True,0
95,7,37,26,True,0
96,6,19,26,True,0
96,7,37,26,True,0
97,6,19,26,True,0
97,7,37,26,True,0
98,6,19,26,True,0
98,7,37,26,True,0
99,6,19,26,True,0
99,7,37,26,True,0
100,6,19,26,True,0
100,7,37,26,True,0
